V1,V2
V1,V2
V1,V2
V1,V2
V1,V2
0,801
0.333388864994049,3300
0.666777729988098,3300
1.00016665458679,3300
1.3335554599762,3300
1.66694438457489,3300
2.00033330917358,801
2.33372211456299,801
2.66711091995239,801
3.00049996376038,3300
3.33388876914978,1256
3.66727757453918,801
4.00066661834717,1139
4.33405542373657,946
4.66744422912598,801
5.00083303451538,801
5.33422183990479,1729
5.66761112213135,1098
6.00099992752075,858
6.33438873291016,1192
6.66777753829956,1512
7.00116634368896,1298
7.33455514907837,1469
7.66794395446777,1457
8.00133323669434,1356
8.33472156524658,1385
8.66811084747314,1360
9.00150012969971,1273
9.33488845825195,1252
9.66827774047852,1518
10.0016660690308,1502
10.3350553512573,1351
10.6684436798096,1292
11.0018329620361,1330
11.3352222442627,1355
11.6686105728149,1331
12.0019998550415,1305
12.3353881835938,1307
12.6687774658203,1323
13.0021657943726,1349
13.3355550765991,1373
13.6689443588257,1367
14.0023326873779,1350
14.3357219696045,1341
14.6691102981567,1343
15.0024995803833,1338
15.3358879089355,1327
15.6692771911621,1327
16.0026664733887,1329
16.3360557556152,1324
16.6694431304932,1320
17.0028324127197,1333
17.3362216949463,1353
17.6696109771729,1361
18.0030002593994,1368
18.3363876342773,1381
18.6697769165039,1390
19.0031661987305,1395
19.336555480957,1411
19.669942855835,1427
20.0033321380615,1426
20.3367214202881,1417
20.6701107025146,1417
21.0034999847412,1421
21.3368873596191,1418
21.6702766418457,1410
22.0036659240723,1407
22.3370552062988,1410
22.6704444885254,1406
23.0038318634033,1397
23.3372211456299,1394
23.6706104278564,1398
24.003999710083,1401
24.3373889923096,1395
24.6707763671875,1396
25.0041656494141,1409
25.3375549316406,1405
25.6709442138672,1388
26.0043315887451,1374
26.3377208709717,1373
26.6711101531982,1368
27.0044994354248,1364
27.3378887176514,1367
27.6712760925293,1365
28.0046653747559,1357
28.3380546569824,1354
28.671443939209,1358
29.0048332214355,1354
29.3382205963135,1349
29.67160987854,1347
30.0049991607666,1342
30.3383884429932,1334
30.6717758178711,1329
31.0051651000977,1328
31.3385543823242,1330
31.6719436645508,1336
32.0053329467773,1348
32.3387222290039,1365
32.6721115112305,1379
33.005500793457,1390
33.3388862609863,1399
33.6722755432129,1405
34.0056648254395,1408
34.339054107666,1413
34.6724433898926,1423
35.0058326721191,1425
35.3392219543457,1408
35.6726112365723,1448
36.0060005187988,1486
36.3393859863281,1503
36.6727752685547,1474
37.0061645507812,1430
37.3395538330078,1469
37.6729431152344,1438
38.0063323974609,1430
38.3397216796875,1447
38.6731109619141,1461
39.0065002441406,1460
39.3398857116699,1460
39.6732749938965,1461
40.006664276123,1459
40.3400535583496,1457
40.6734428405762,1458
41.0068321228027,1460
41.3402214050293,1463
41.6736106872559,1468
42.0069999694824,1468
42.340389251709,1471
42.6737747192383,1475
43.0071640014648,1477
43.3405532836914,1484
43.673942565918,1496
44.0073318481445,1506
44.3407211303711,1517
44.6741104125977,1529
45.0074996948242,1537
45.3408889770508,1542
45.6742744445801,1545
46.0076637268066,1549
46.3410530090332,1552
46.6744422912598,1552
47.0078315734863,1555
47.3412208557129,1558
47.6746101379395,1557
48.007999420166,1555
48.3413887023926,1555
