V1,V2
V1,V2
V1,V2
V1,V2
V1,V2
0,801
0.333388864994049,801
0.666777729988098,1153
1.00016665458679,2716
1.3335554599762,1643
1.66694438457489,2389
2.00033330917358,3133
2.33372211456299,1760
2.66711091995239,801
3.00049996376038,801
3.33388876914978,801
3.66727757453918,801
4.00066661834717,801
4.33405542373657,801
4.66744422912598,801
5.00083303451538,801
5.33422183990479,801
5.66761112213135,801
6.00099992752075,933
6.33438873291016,920
6.66777753829956,977
7.00116634368896,952
7.33455514907837,934
7.66794395446777,920
8.00133323669434,976
8.33472156524658,1062
8.66811084747314,1056
9.00150012969971,1050
9.33488845825195,1085
9.66827774047852,1132
10.0016660690308,1138
10.3350553512573,1158
10.6684436798096,1189
11.0018329620361,1195
11.3352222442627,1197
11.6686105728149,1213
12.0019998550415,1228
12.3353881835938,1229
12.6687774658203,1228
13.0021657943726,1236
13.3355550765991,1249
13.6689443588257,1256
14.0023326873779,1260
14.3357219696045,1265
14.6691102981567,1278
15.0024995803833,1293
15.3358879089355,1305
15.6692771911621,1318
16.0026664733887,1329
16.3360557556152,1332
16.6694431304932,1333
17.0028324127197,1336
17.3362216949463,1337
17.6696109771729,1331
18.0030002593994,1328
18.3363876342773,1332
18.6697769165039,1332
19.0031661987305,1325
19.336555480957,1323
19.669942855835,1332
20.0033321380615,1344
20.3367214202881,1353
20.6701107025146,1360
21.0034999847412,1365
21.3368873596191,1365
21.6702766418457,1365
22.0036659240723,1369
22.3370552062988,1373
22.6704444885254,1374
23.0038318634033,1373
23.3372211456299,1376
23.6706104278564,1379
24.003999710083,1380
24.3373889923096,1379
24.6707763671875,1374
25.0041656494141,1366
25.3375549316406,1366
25.6709442138672,1372
26.0043315887451,1377
26.3377208709717,1380
26.6711101531982,1384
27.0044994354248,1388
27.3378887176514,1387
27.6712760925293,1385
28.0046653747559,1385
28.3380546569824,1388
28.671443939209,1392
29.0048332214355,1396
29.3382205963135,1400
29.67160987854,1408
30.0049991607666,1417
30.3383884429932,1423
30.6717758178711,1429
31.0051651000977,1437
31.3385543823242,1444
31.6719436645508,1449
32.0053329467773,1456
32.3387222290039,1460
32.6721115112305,1457
33.005500793457,1448
33.3388862609863,1442
33.6722755432129,1453
34.0056648254395,1470
34.339054107666,1487
34.6724433898926,1498
35.0058326721191,1503
35.3392219543457,1504
35.6726112365723,1504
36.0060005187988,1502
36.3393859863281,1502
36.6727752685547,1509
37.0061645507812,1516
37.3395538330078,1518
37.6729431152344,1522
38.0063323974609,1530
38.3397216796875,1538
38.6731109619141,1549
39.0065002441406,1560
39.3398857116699,1574
39.6732749938965,1562
40.006664276123,1408
40.3400535583496,1386
40.6734428405762,1384
41.0068321228027,1386
41.3402214050293,1392
41.6736106872559,1403
42.0069999694824,1414
42.340389251709,1422
42.6737747192383,1427
43.0071640014648,1429
43.3405532836914,1431
43.673942565918,1436
44.0073318481445,1440
44.3407211303711,1441
44.6741104125977,1443
45.0074996948242,1449
45.3408889770508,1449
45.6742744445801,1444
46.0076637268066,1442
46.3410530090332,1446
46.6744422912598,1449
47.0078315734863,1450
47.3412208557129,1452
47.6746101379395,1456
48.007999420166,1458
48.3413887023926,1461
