L1.10GA.S2.01.SAC,1,0,10,10
L1.10GA.S2.02.SAC,2,10,10,14
L1.10GA.S2.03.SAC,3,20,10,22
L1.10GA.S2.04.SAC,4,30,10,32
L1.10GA.S2.05.SAC,5,40,10,41
L1.10GA.S2.06.SAC,6,50,10,51
L1.10GA.S2.07.SAC,7,60,10,61
L1.10GA.S2.08.SAC,8,70,10,71
L1.10GA.S2.09.SAC,9,80,10,81
L1.10GA.S2.10.SAC,10,90,10,91
L1.10GA.S2.11.SAC,11,100,10,100
L2.10GA.S2.01.SAC,1,0,20,20
L2.10GA.S2.02.SAC,2,10,20,22
L2.10GA.S2.03.SAC,3,20,20,28
L2.10GA.S2.04.SAC,4,30,20,36
L2.10GA.S2.05.SAC,5,40,20,45
L2.10GA.S2.06.SAC,6,50,20,54
L2.10GA.S2.07.SAC,7,60,20,63
L2.10GA.S2.08.SAC,8,70,20,73
L2.10GA.S2.09.SAC,9,80,20,82
L2.10GA.S2.10.SAC,10,90,20,92
L2.10GA.S2.11.SAC,11,100,20,102
L3.10GA.S2.01.SAC,1,0,30,30
L3.10GA.S2.02.SAC,2,10,30,32
L3.10GA.S2.03.SAC,3,20,30,36
L3.10GA.S2.04.SAC,4,30,30,42
L3.10GA.S2.05.SAC,5,40,30,50
L3.10GA.S2.06.SAC,6,50,30,58
L3.10GA.S2.07.SAC,7,60,30,67
L3.10GA.S2.08.SAC,8,70,30,76
L3.10GA.S2.09.SAC,9,80,30,85
L3.10GA.S2.10.SAC,10,90,30,95
L3.10GA.S2.11.SAC,11,100,30,104
L4.10GA.S2.01.SAC,1,0,40,40
L4.10GA.S2.02.SAC,2,10,40,41
L4.10GA.S2.03.SAC,3,20,40,45
L4.10GA.S2.04.SAC,4,30,40,50
L4.10GA.S2.05.SAC,5,40,40,57
L4.10GA.S2.06.SAC,6,50,40,64
L4.10GA.S2.07.SAC,7,60,40,72
L4.10GA.S2.08.SAC,8,70,40,81
L4.10GA.S2.09.SAC,9,80,40,89
L4.10GA.S2.10.SAC,10,90,40,98
L4.10GA.S2.11.SAC,11,100,40,108
L5.10GA.S2.01.SAC,1,0,50,50
L5.10GA.S2.02.SAC,2,10,50,51
L5.10GA.S2.03.SAC,3,20,50,54
L5.10GA.S2.04.SAC,4,30,50,58
L5.10GA.S2.05.SAC,5,40,50,64
L5.10GA.S2.06.SAC,6,50,50,71
L5.10GA.S2.07.SAC,7,60,50,78
L5.10GA.S2.08.SAC,8,70,50,86
L5.10GA.S2.09.SAC,9,80,50,94
L5.10GA.S2.10.SAC,10,90,50,103
L5.10GA.S2.11.SAC,11,100,50,112
L6.10GA.S2.01.SAC,1,0,60,60
L6.10GA.S2.02.SAC,2,10,60,61
L6.10GA.S2.03.SAC,3,20,60,63
L6.10GA.S2.04.SAC,4,30,60,67
L6.10GA.S2.05.SAC,5,40,60,72
L6.10GA.S2.06.SAC,6,50,60,78
L6.10GA.S2.07.SAC,7,60,60,85
L6.10GA.S2.08.SAC,8,70,60,92
L6.10GA.S2.09.SAC,9,80,60,100
L6.10GA.S2.10.SAC,10,90,60,108
L6.10GA.S2.11.SAC,11,100,60,117
L7.10GA.S2.01.SAC,1,0,70,70
L7.10GA.S2.02.SAC,2,10,70,71
L7.10GA.S2.03.SAC,3,20,70,73
L7.10GA.S2.04.SAC,4,30,70,76
L7.10GA.S2.05.SAC,5,40,70,81
L7.10GA.S2.06.SAC,6,50,70,86
L7.10GA.S2.07.SAC,7,60,70,92
L7.10GA.S2.08.SAC,8,70,70,99
L7.10GA.S2.09.SAC,9,80,70,106
L7.10GA.S2.10.SAC,10,90,70,114
L7.10GA.S2.11.SAC,11,100,70,122
L8.10GA.S2.01.SAC,1,0,80,80
L8.10GA.S2.02.SAC,2,10,80,81
L8.10GA.S2.03.SAC,3,20,80,82
L8.10GA.S2.04.SAC,4,30,80,85
L8.10GA.S2.05.SAC,5,40,80,89
L8.10GA.S2.06.SAC,6,50,80,94
L8.10GA.S2.07.SAC,7,60,80,100
L8.10GA.S2.08.SAC,8,70,80,106
L8.10GA.S2.09.SAC,9,80,80,113
L8.10GA.S2.10.SAC,10,90,80,120
L8.10GA.S2.11.SAC,11,100,80,128
L9.10GA.S2.01.SAC,1,0,90,90
L9.10GA.S2.02.SAC,2,10,90,91
L9.10GA.S2.03.SAC,3,20,90,92
L9.10GA.S2.04.SAC,4,30,90,95
L9.10GA.S2.05.SAC,5,40,90,98
L9.10GA.S2.06.SAC,6,50,90,103
L9.10GA.S2.07.SAC,7,60,90,108
L9.10GA.S2.08.SAC,8,70,90,114
L9.10GA.S2.09.SAC,9,80,90,120
L9.10GA.S2.10.SAC,10,90,90,127
L9.10GA.S2.11.SAC,11,100,90,135
L10.10GA.S2.01.SAC,1,0,100,100
L10.10GA.S2.02.SAC,2,10,100,100
L10.10GA.S2.03.SAC,3,20,100,102
L10.10GA.S2.04.SAC,4,30,100,104
L10.10GA.S2.05.SAC,5,40,100,108
L10.10GA.S2.06.SAC,6,50,100,112
L10.10GA.S2.07.SAC,7,60,100,117
L10.10GA.S2.08.SAC,8,70,100,122
L10.10GA.S2.09.SAC,9,80,100,128
L10.10GA.S2.10.SAC,10,90,100,135
L10.10GA.S2.11.SAC,11,100,100,141
L11.10GA.S2.01.SAC,1,0,110,110
L11.10GA.S2.02.SAC,2,10,110,110
L11.10GA.S2.03.SAC,3,20,110,112
L11.10GA.S2.04.SAC,4,30,110,114
L11.10GA.S2.05.SAC,5,40,110,117
L11.10GA.S2.06.SAC,6,50,110,121
L11.10GA.S2.07.SAC,7,60,110,125
L11.10GA.S2.08.SAC,8,70,110,130
L11.10GA.S2.09.SAC,9,80,110,136
L11.10GA.S2.10.SAC,10,90,110,142
L11.10GA.S2.11.SAC,11,100,110,149
L12.10GA.S2.01.SAC,1,0,120,120
L12.10GA.S2.02.SAC,2,10,120,120
L12.10GA.S2.03.SAC,3,20,120,122
L12.10GA.S2.04.SAC,4,30,120,124
L12.10GA.S2.05.SAC,5,40,120,126
L12.10GA.S2.06.SAC,6,50,120,130
L12.10GA.S2.07.SAC,7,60,120,134
L12.10GA.S2.08.SAC,8,70,120,139
L12.10GA.S2.09.SAC,9,80,120,144
L12.10GA.S2.10.SAC,10,90,120,150
L12.10GA.S2.11.SAC,11,100,120,156
