MODEL.01
Model after   100 iterations
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
      H(KM)   VP(KM/S)   VS(KM/S) RHO(GM/CC)     QP         QS       ETAP       ETAS      FREFP      FREFS    
     0.2100     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2200     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2300     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2400     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2500     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2600     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2700     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2800     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.2900     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
     0.0000     4.5000     2.5000     2.3900  0.100E-10  0.200E-10   0.00       0.00       1.00       1.00    
